Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-arxiv*,True,no-split,10000,4240,13.8717,0.848,130237,0.015797624422683926,4.2404240424042406e-05,9962,4,7,1.4166666666666667,2,1,1,1,4,-0.28125,0.0,1.3050920963287354,16 ordered iterations
ogbn-arxiv,True,no-split,10000,4019,13.7313,0.8038,129275,0.014854674054892191,4.0194019401940193e-05,9981,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.8162589073181152,16 ordered iterations
ogbn-arxiv,True,no-split,10000,3514,12.8681,0.7028,121653,0.012342915338525075,3.514351435143514e-05,9974,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.3916075229644775,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,3633,13.1485,0.7266,124219,0.014513837568452058,3.633363336333633e-05,9966,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.071563959121704,16 ordered iterations
ogbn-arxiv,True,no-split,10000,3754,13.2972,0.7508,125464,0.012922257669587944,3.754375437543754e-05,9968,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.1127283573150635,16 ordered iterations
ogbn-arxiv,True,no-split,9343,3661,13.856791180562988,0.7836883228085197,122142,0.014765702543538784,4.194435467825518e-05,9313,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.8085067272186279,16 ordered iterations
ogbn-arxiv,True,no-split,7500,2539,14.3156,0.6770666666666667,102289,0.014485632244200125,4.514379695070454e-05,7485,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2.2806761264801025,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2115,13.577733333333333,0.564,97603,0.010608185293350822,3.7605014001866916e-05,7490,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.47006654739379883,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2269,13.5212,0.6050666666666666,96871,0.011746751886114118,4.034315686535982e-05,7481,4,7,1.5,3,1,1,1,3,-0.18,0.14285714285714285,0.8818843364715576,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2544,14.371733333333333,0.6784,102700,0.016768351158438777,4.523269769302574e-05,7482,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.5845630168914795,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2100,13.184933333333333,0.56,94687,0.009047672969628549,3.733831177490332e-05,7475,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.8437972068786621,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2312,13.975733333333332,0.6165333333333334,100194,0.010596461060560265,4.110770324932213e-05,7490,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.9057855606079102,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2312,13.988,0.6165333333333334,100286,0.011289765827142273,4.110770324932213e-05,7481,4,6,1.5833333333333333,3,2,1,1,3,-0.15625,0.16666666666666666,0.820380687713623,22 ordered iterations
