Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-products,False,no-split,5000,145,38.6188,0.058,192804,0.0018,1.1602320464092818e-05,4861,7,8,2.0,4,2,1,1,2,0.25,0.75,0.41797947883605957,50 ordered iterations
ogbn-products,False,no-split,5000,169,38.975,0.0676,194537,0.0023333333333333335,1.3522704540908182e-05,4836,4,5,1.1666666666666667,2,1,2,2,1,0.0,1.0,0.4062376022338867,50 ordered iterations
ogbn-products,False,no-split,5000,177,39.0436,0.0708,194864,0.0016666666666666668,1.4162832566513303e-05,4826,6,5,1.6666666666666667,2,1,1,1,1,0.0,1.0,0.4150550365447998,50 ordered iterations
ogbn-products,False,no-split,5000,164,38.6416,0.0656,192880,0.0010666666666666667,1.3122624524904982e-05,4838,5,4,1.6,2,1,1,1,1,0.0,1.0,0.42258358001708984,50 ordered iterations
ogbn-products,False,no-split,5000,180,40.477,0.072,202025,0.0021541397849462363,1.4402880576115223e-05,4825,33,34,1.9356060606060606,2,1,1,1,3,0.09688581314878883,0.8823529411764706,0.7652044296264648,50 ordered iterations
ogbn-products,False,no-split,5000,162,37.6236,0.0648,187794,0.0010333333333333332,1.29625925185037e-05,4840,5,5,1.5,2,1,1,1,2,0.08000000000000004,0.6,0.40531420707702637,50 ordered iterations
ogbn-products,False,no-split,5000,163,40.2984,0.0652,201166,0.0024,1.3042608521704341e-05,4841,4,3,1.5,2,1,1,1,1,0.0,1.0,0.4352841377258301,50 ordered iterations
ogbn-products,False,no-split,5000,157,40.7344,0.0628,203358,0.0015,1.25625125025005e-05,4846,7,6,2.0,3,2,1,1,2,0.3194444444444445,0.8333333333333334,0.45177602767944336,50 ordered iterations
ogbn-products,False,no-split,5000,160,39.2136,0.064,195748,0.0012,1.280256051210242e-05,4843,5,4,1.6,2,1,1,1,1,0.0,1.0,0.41958141326904297,50 ordered iterations
ogbn-products,False,no-split,5000,155,38.2624,0.062,191002,0.0004666666666666667,1.240248049609922e-05,4846,5,4,1.6,2,1,1,1,1,0.0,1.0,0.4171140193939209,50 ordered iterations
ogbn-products,False,no-split,5000,143,38.7114,0.0572,193271,0.0,1.1442288457691539e-05,4857,5,4,1.6,2,1,1,1,1,0.0,1.0,13.853893280029297,50 ordered iterations
ogbn-products,False,no-split,5000,168,39.5364,0.0672,197346,0.0004666666666666666,1.3442688537707541e-05,4833,12,11,2.106060606060606,4,2,1,1,3,0.25206611570247933,0.8181818181818182,0.48406076431274414,50 ordered iterations
ogbn-products,False,no-split,5000,168,39.1038,0.0672,195183,0.0012,1.3442688537707541e-05,4834,10,9,1.8,2,1,1,1,1,0.0,1.0,0.4496140480041504,50 ordered iterations
ogbn-products,False,no-split,5000,167,39.5802,0.0668,197567,0.0016666666666666663,1.33626725345069e-05,4837,19,18,2.257309941520468,5,3,1,1,3,0.257716049382716,0.8888888888888888,0.5762951374053955,50 ordered iterations
ogbn-products,False,no-split,5000,150,37.9938,0.06,189669,0.0010666666666666665,1.2002400480096018e-05,4853,4,3,1.5,2,1,1,1,1,0.0,1.0,0.41359639167785645,50 ordered iterations
ogbn-products,False,no-split,5000,142,38.2042,0.0568,190737,0.0012,1.1362272454490898e-05,4860,6,5,1.9333333333333333,3,2,1,1,2,0.30000000000000004,0.8,0.4236876964569092,50 ordered iterations
ogbn-products,False,no-split,5000,140,38.678,0.056,193110,0.0006,1.1202240448089618e-05,4861,15,14,1.980952380952381,3,2,1,1,2,0.11989795918367349,0.9285714285714286,0.5304453372955322,50 ordered iterations
ogbn-products,False,no-split,5000,155,38.9902,0.062,194641,0.0,1.240248049609922e-05,4845,6,5,2.066666666666667,4,2,1,1,3,0.26,0.6,0.42963290214538574,50 ordered iterations
ogbn-products,False,no-split,5000,155,39.6362,0.062,197871,0.0008,1.240248049609922e-05,4847,5,4,1.8,3,2,1,1,2,0.21875,0.75,0.4366133213043213,50 ordered iterations
ogbn-products,False,no-split,5000,162,39.3002,0.0648,196177,0.0010036363636363637,1.29625925185037e-05,4840,12,12,1.8181818181818181,2,1,1,1,2,0.11111111111111113,0.8333333333333334,0.520758867263794,50 ordered iterations
ogbn-products,False,no-split,5000,148,39.54,0.0592,197404,0.0,1.1842368473694739e-05,4852,5,4,1.6,2,1,1,1,1,0.0,1.0,0.4391205310821533,50 ordered iterations
ogbn-products,False,no-split,5000,153,38.5794,0.0612,192591,0.0024,1.2242448489697939e-05,4852,4,3,1.5,2,1,1,1,1,0.0,1.0,0.42496204376220703,50 ordered iterations
ogbn-products,False,no-split,5000,163,40.4878,0.0652,202113,0.0010133333333333335,1.3042608521704341e-05,4840,10,11,2.1777777777777776,4,2,1,1,3,0.3347107438016529,0.7272727272727273,0.4932115077972412,50 ordered iterations
ogbn-products,False,no-split,5000,160,37.9952,0.064,189656,0.0006,1.280256051210242e-05,4841,5,4,1.6,2,1,1,1,1,0.0,1.0,0.42946290969848633,50 ordered iterations
ogbn-products,False,no-split,5000,174,40.343,0.0696,201367,0.0011333333333333332,1.3922784556911382e-05,4830,6,5,1.6666666666666667,2,1,1,1,1,0.0,1.0,13.89379620552063,50 ordered iterations
ogbn-products,False,no-split,5000,163,39.5938,0.0652,197643,0.0011333333333333332,1.3042608521704341e-05,4841,6,7,1.6,3,2,1,1,2,0.07142857142857145,0.5714285714285714,0.4564516544342041,50 ordered iterations
ogbn-products,False,no-split,5000,128,37.8288,0.0512,188888,0.0009333333333333334,1.0242048409681936e-05,4875,7,6,1.7142857142857142,2,1,1,1,1,0.0,1.0,0.47380828857421875,50 ordered iterations
ogbn-products,False,no-split,5000,207,41.0926,0.0828,205049,0.002050588235294118,1.6563312662532506e-05,4799,23,25,2.217391304347826,4,2,1,1,8,0.296,0.6,0.7035379409790039,50 ordered iterations
